Date,Open,High,Low,Close,Adj Close,Volume
2020-04-17,60.627499,61.782501,59.692501,61.564999,60.920498,10952800
2020-04-20,61.362499,61.825001,59.277500,59.402500,58.780640,8714400
2020-04-21,58.767502,59.542500,57.764999,58.855000,58.238873,10622000
2020-04-22,59.482498,62.174999,59.482498,61.792500,61.145618,11759600
2020-04-23,61.597500,61.937500,60.032501,60.285000,59.653900,9360400
2020-04-24,60.432499,60.487499,58.987499,59.924999,59.297668,8029200
2020-04-27,60.527500,61.580002,60.357498,60.900002,60.262466,8457600
2020-04-28,61.564999,61.724998,59.525002,59.825001,59.198719,8464800
2020-04-29,60.497501,60.584999,58.322498,58.782501,58.167130,2475400
2020-04-30,58.465000,58.474998,57.224998,57.779999,57.175125,4483700
2020-05-01,57.477501,57.505001,56.250000,56.762501,56.168278,2292000
2020-05-04,56.750000,57.792500,56.235001,57.522499,56.920322,2269300
2020-05-05,57.840000,58.637501,57.347500,57.525002,56.922794,2010500
2020-05-06,57.730000,57.790001,55.654999,55.665001,55.082268,1844400
2020-05-07,56.299999,57.147499,55.695000,56.119999,55.532505,2173000
2020-05-08,56.847500,57.657501,56.435001,57.432499,56.831261,2827200
2020-05-11,56.697498,57.070000,56.027500,56.845001,56.249916,1963600
2020-05-12,57.049999,57.357498,56.317501,56.982498,56.385971,9565200
2020-05-13,56.709999,57.632500,56.500000,57.529999,56.927742,14076800
2020-05-14,56.942501,58.332500,56.822498,58.057499,57.449718,11595600
2020-05-15,57.507500,57.720001,55.805000,56.962502,56.366184,20232400
2020-05-18,58.485001,59.224998,58.122501,58.862499,58.246292,9123200
2020-05-19,58.480000,58.682499,57.615002,57.625000,57.021748,6532800
2020-05-20,58.075001,59.057499,57.700001,58.197498,57.588253,5847200
2020-05-21,58.174999,58.369999,57.017502,57.224998,56.625935,8308400
2020-05-22,57.207500,58.502499,56.787498,58.462502,57.850479,5990000
2020-05-26,59.084999,59.599998,58.450001,58.577499,57.964275,7658800
2020-05-27,59.437500,60.310001,58.735001,60.282501,59.651428,12343600
2020-05-28,61.099998,63.014999,60.910000,62.840000,62.182156,12416000
2020-05-29,62.527500,64.127502,62.375000,63.889999,63.221161,15309600
2020-06-01,63.522499,64.582497,62.812500,63.912498,63.591789,6655600
2020-06-02,63.892502,65.082497,63.432499,64.150002,63.828102,10640000
2020-06-03,64.547501,65.565002,64.175003,64.894997,64.569359,7303200
2020-06-04,64.415001,65.137497,62.020000,62.972500,62.656509,12012400
2020-06-05,63.044998,64.639999,62.502499,63.595001,63.275887,12370800
2020-06-08,63.264999,65.184998,62.642502,65.120003,64.793236,8149200
2020-06-09,64.777496,64.787498,63.514999,64.667503,64.343002,7990400
2020-06-10,64.702499,65.224998,63.892502,64.197502,63.875362,6674400
2020-06-11,63.715000,63.740002,61.467499,62.082500,61.770973,9718400
2020-06-12,62.942501,63.029999,61.060001,61.727501,61.417755,8356800
2020-06-15,61.180000,62.732498,60.332500,62.142502,61.830673,8404400
2020-06-16,63.380001,63.419998,61.667500,62.042500,61.731174,8056800
2020-06-17,62.497501,62.750000,61.427502,62.250000,61.937634,6767600
2020-06-18,62.049999,62.480000,61.587502,62.232498,61.920219,6386800
2020-06-19,62.875000,62.910000,60.552502,60.552502,60.248653,14452800
2020-06-22,60.799999,62.049999,60.137501,61.759998,61.450092,7190800
2020-06-23,62.292500,62.562500,60.577499,60.802502,60.497398,9306000
2020-06-24,60.334999,61.119999,59.630001,60.417500,60.114326,6901200
2020-06-25,60.330002,60.330002,58.892502,59.790001,59.489979,7824800
2020-06-26,59.625000,60.514999,58.702499,59.055000,58.758667,10107200
2020-06-29,59.377499,59.622501,58.439999,59.560001,59.261131,5793200
2020-06-30,59.727501,60.452499,59.375000,60.042500,59.741211,9532400
2020-07-01,59.917500,61.875000,59.577499,61.564999,61.256069,6024400
2020-07-02,62.040001,62.430000,61.437500,61.599998,61.290894,5981200
2020-07-06,62.047501,62.287498,61.145000,61.740002,61.430195,6256800
2020-07-07,61.112499,62.084999,60.910000,61.680000,61.370495,6017200
2020-07-08,61.707500,63.535000,61.529999,63.317501,62.999779,9633600
2020-07-09,62.807499,63.342499,62.139999,62.997501,62.681385,6818800
2020-07-10,63.044998,65.322502,62.942501,64.900002,64.574341,10079200
2020-07-13,64.747498,65.602501,63.847500,64.059998,63.738548,9600800
2020-07-14,64.059998,66.172501,63.965000,65.637497,65.308136,12154400
